s_ptx0.125,vtrue_ptx0.125,vpred_ptx0.125,s_ptx0.25,vtrue_ptx0.25,vpred_ptx0.25,t,re_path_mean5,re_path_sd2x
-0.61616164,-0.32898533,-0.33944914600000003,-0.61616164,-0.32080162,-0.339954942,0.19,0.0192751158,0.029901406799999995
-0.5959596,-0.37102437,-0.37956068800000003,-0.5959596,-0.36637557,-0.38059251,0.19999999,0.0192726602,0.0289189912
-0.57575756,-0.41336733,-0.41979921,-0.57575756,-0.41237637,-0.421526378,0.21,0.019229422599999997,0.0294937732
-0.5555556,-0.4557659,-0.46034912199999994,-0.5555556,-0.4585513,-0.462633242,0.22,0.019649478600000003,0.0300528984
-0.53535354,-0.4979884,-0.5007294360000001,-0.53535354,-0.504427,-0.50375684,0.22999999,0.019503941400000002,0.030556138
-0.5151515,-0.53971314,-0.5406806820000001,-0.5151515,-0.54973763,-0.54465878,0.24,0.0199164452,0.0296746468
-0.4949495,-0.5806625,-0.5802504720000001,-0.4949495,-0.5940981,-0.585046854,0.25,0.0196823006,0.0299344812
-0.47474748,-0.6207433,-0.619487508,-0.47474748,-0.63726586,-0.624916148,0.26,0.019990243999999997,0.02942619
-0.45454547,-0.6595124,-0.658142344,-0.45454547,-0.6788816,-0.6639974240000001,0.26999998,0.0201812802,0.029073358
-0.43434343,-0.69690865,-0.69596368,-0.43434343,-0.7187577,-0.702432014,0.28,0.019545242,0.028586982800000004
-0.41414142,-0.7326985,-0.7330395659999999,-0.41414142,-0.7565708,-0.73946653,0.29,0.019786894399999998,0.028407786600000002
-0.3939394,-0.7667794,-0.7688944520000001,-0.3939394,-0.79227996,-0.774797664,0.29999998,0.0200816992,0.028202323399999996
-0.37373737,-0.7989181,-0.803281282,-0.37373737,-0.82565475,-0.808263344,0.31,0.0205039946,0.028449156399999998
-0.35353535,-0.82914966,-0.835110452,-0.35353535,-0.8566377,-0.83935578,0.32,0.0203150516,0.028502592599999998
-0.33333334,-0.8572878,-0.864211836,-0.33333334,-0.88504356,-0.8677404299999999,0.32999998,0.0204395708,0.027955143199999997
-0.3131313,-0.8834649,-0.890325492,-0.3131313,-0.9111324,-0.8930773459999999,0.34,0.020739382,0.027580875999999997
-0.2929293,-0.9073996,-0.913369432,-0.2929293,-0.9347413,-0.916177274,0.35,0.0208499024,0.026791986
-0.27272728,-0.9293673,-0.93289362,-0.27272728,-0.9558971,-0.93629496,0.35999998,0.021609763799999997,0.0253712144
-0.25252524,-0.9492097,-0.949047488,-0.25252524,-0.9748286,-0.952937546,0.37,0.021268291599999996,0.025030043599999996
-0.23232323,-0.9671251,-0.9620051679999999,-0.23232323,-0.9915145,-0.9662477200000001,0.38,0.020843486799999998,0.024044267199999997
-0.21212122,-0.9830754,-0.9728880400000002,-0.21212122,-1.0062042,-0.9773659479999999,0.39,0.0207792014,0.0228659836
-0.1919192,-0.99717253,-0.9815035739999999,-0.1919192,-1.0189325,-0.986301186,0.39999998,0.020704433,0.0218382692
-0.17171717,-1.0095574,-0.9882509319999999,-0.17171717,-1.0298586,-0.993203172,0.41,0.0204847766,0.0222683358
-0.15151516,-1.0202411,-0.9933482940000001,-0.15151516,-1.0391514,-0.998240784,0.42,0.020632824799999998,0.021603114399999998
-0.13131313,-1.0293875,-0.9974278200000001,-0.13131313,-1.0469888,-1.002203758,0.42999998,0.0200886794,0.0219600224
-0.11111111,-1.0370065,-1.000886032,-0.11111111,-1.0533378,-1.00537192,0.44,0.019618231,0.0210397648
-0.09090909,-1.0432243,-1.003837972,-0.09090909,-1.0585274,-1.00785164,0.45,0.0188582584,0.0207129282
-0.07070707,-1.0481232,-1.00608398,-0.07070707,-1.062562,-1.00952816,0.45999998,0.018581359800000002,0.0203208104
-0.05050505,-1.0516889,-1.00752544,-0.05050505,-1.0654668,-1.01037462,0.47,0.018389394,0.019982983439999998
-0.030303031,-1.054045,-1.00822538,-0.030303031,-1.0674272,-1.01054814,0.48,0.01798388,0.018901870799999998
-0.010101011,-1.0552794,-1.00835082,-0.010101011,-1.0683827,-1.0101337799999999,0.48999998,0.0175628048,0.018610739199999997
0.010101011,-1.0553138,-1.00786038,0.010101011,-1.0683178,-1.0090616,0.5,0.0172695066,0.019137344
0.030303031,-1.0540903,-1.00672158,0.030303031,-1.067421,-1.0073946399999998,0.51,0.0172583242,0.0189492948
0.05050505,-1.05167,-1.0050044,0.05050505,-1.0654942,-1.00526074,0.52,0.0171766566,0.01864990952
0.07070707,-1.0480876,-1.002423872,0.07070707,-1.0625824,-1.002414666,0.53000003,0.0171852196,0.017896424200000004
0.09090909,-1.0432414,-0.9991856380000002,0.09090909,-1.058562,-0.9989736260000001,0.54,0.0171027639,0.018346198
0.11111111,-1.0369507,-0.995154004,0.11111111,-1.0534134,-0.994993062,0.55,0.0167045804,0.01797310464
0.13131313,-1.0293508,-0.990234544,0.13131313,-1.0469784,-0.990463868,0.56,0.016523742399999996,0.0175097412
0.15151516,-1.020247,-0.9843909120000001,0.15151516,-1.0391707,-0.9851934979999999,0.57,0.0166107998,0.018203668479999997
0.17171717,-1.0095406,-0.9777205179999999,0.17171717,-1.0298563,-0.9789875159999999,0.58,0.0167477086,0.01939863496
0.1919192,-0.99718046,-0.970107694,0.1919192,-1.018876,-0.9714586940000001,0.59000003,0.0163572312,0.0195982014
0.21212122,-0.9830996,-0.9612607059999998,0.21212122,-1.0062062,-0.96281529,0.6,0.015955899399999997,0.020216932800000004
0.23232323,-0.9671284,-0.9507562140000001,0.23232323,-0.99153024,-0.952589504,0.61,0.015538805999999999,0.01874345576
0.25252524,-0.9492477,-0.9378190120000001,0.25252524,-0.974836,-0.9403358980000001,0.62,0.015512152000000001,0.020229215119999998
0.27272728,-0.92936784,-0.922368012,0.27272728,-0.9559268,-0.925606656,0.63,0.015452048200000002,0.0202106538
0.2929293,-0.90742576,-0.903854168,0.2929293,-0.9347335,-0.9077405080000001,0.64,0.015640183000000002,0.019368456760000003
0.3131313,-0.8834287,-0.8823615659999999,0.3131313,-0.9111162,-0.8869533300000001,0.65000004,0.0157384562,0.01921492296
0.33333334,-0.8573476,-0.85780429,0.33333334,-0.88511974,-0.8624043840000001,0.66,0.015582279799999998,0.01764121136
0.35353535,-0.82916117,-0.8302264319999999,0.35353535,-0.85657346,-0.83506453,0.67,0.0149617851,0.017729292400000003
0.37373737,-0.79894066,-0.79975511,0.37373737,-0.82563573,-0.8048221019999999,0.68,0.015048687000000002,0.019038046
0.3939394,-0.76670897,-0.7669106680000001,0.3939394,-0.79226416,-0.771628782,0.69,0.015025371399999998,0.018249674520000002
0.41414142,-0.7326897,-0.732157332,0.41414142,-0.75662184,-0.736558168,0.7,0.0152567851,0.018652771000000002
0.43434343,-0.69691795,-0.6958564840000001,0.43434343,-0.71872604,-0.69983524,0.71,0.015531588499999999,0.0183045076
0.45454547,-0.6595161,-0.658138532,0.45454547,-0.67888653,-0.66160249,0.72,0.0154725472,0.0181536344
0.47474748,-0.62070155,-0.61921117,0.47474748,-0.6372669,-0.622136522,0.73,0.0150175094,0.018409014480000003
0.4949495,-0.5807714,-0.5793367440000001,0.4949495,-0.59410477,-0.581558224,0.74,0.0145588308,0.018090773679999998
0.5151515,-0.53968835,-0.5385005079999999,0.5151515,-0.5497204,-0.5400727319999999,0.75,0.014243564399999997,0.017667021720000002
0.53535354,-0.49797797,-0.496614294,0.53535354,-0.50440836,-0.497797648,0.76,0.0145882724,0.0181717036
0.5555556,-0.4557978,-0.45362050200000004,0.5555556,-0.45851243,-0.454479212,0.77,0.0143488482,0.0180655598
0.57575756,-0.4134125,-0.40995733999999995,0.57575756,-0.41243345,-0.41024945200000007,0.78000003,0.014836971800000001,0.01824783812
0.5959596,-0.3710131,-0.3658075,0.5959596,-0.3664027,-0.36549334,0.79,0.014989286800000001,0.018379155119999997
0.61616164,-0.3289989,-0.321016464,0.61616164,-0.32080075,-0.320336924,0.8,0.0143287008,0.018401218
0.6363636,-0.28759634,-0.276015414,0.6363636,-0.27597666,-0.275525826,0.81,0.014369753599999998,0.0196064664
0.65656567,-0.24689992,-0.23200078399999996,0.65656567,-0.23223336,-0.231744684,0.82,0.0140027802,0.0201338384
0.6767677,-0.20736825,-0.18982231600000002,0.6767677,-0.1898967,-0.189623602,0.83,0.0138455784,0.01927895052
